Order_ID,Pasta,Salad,Pizza,Burger,Fries,Garlic Bread,Coke,Pepsi,Ice Cream
1,1,1,0,0,0,1,0,0,0
2,1,0,1,1,0,0,1,0,0
3,0,1,1,0,0,1,0,1,1
4,1,1,0,1,0,0,1,0,0
5,0,1,1,0,1,0,0,0,1
6,1,0,0,1,1,1,0,0,0
7,0,1,0,0,0,1,1,0,1
8,1,0,1,1,1,0,0,1,0
9,0,0,1,0,1,1,0,1,0
10,1,1,0,1,0,0,1,0,0
11,0,0,1,0,1,0,1,1,1
12,1,1,0,0,1,1,0,0,0
13,0,1,1,1,0,0,0,0,1
14,1,0,0,1,1,1,0,1,0
15,0,1,0,0,0,1,1,0,1
16,1,0,1,0,1,0,0,1,0
17,0,1,0,1,0,1,0,0,1
18,1,0,1,1,0,0,1,0,0
19,0,0,1,0,1,1,0,1,1
20,1,1,0,0,1,0,1,0,0
21,0,1,1,1,0,0,0,0,1
22,1,0,0,0,1,1,0,1,0
23,0,1,0,0,0,1,1,0,1
24,1,0,1,1,0,0,0,1,0
25,0,1,1,0,1,0,1,0,0
26,1,0,0,1,1,1,0,0,0
27,0,1,1,0,0,0,1,1,1
28,1,1,0,1,0,0,0,0,0
29,0,1,0,0,1,1,1,0,0
30,1,0,1,1,0,0,0,1,0
31,0,0,1,0,1,0,1,0,1
32,1,1,0,0,0,1,0,1,0
33,0,0,1,1,1,1,0,0,1
34,1,1,0,0,0,0,1,1,0
35,0,0,1,1,1,1,0,0,1
36,1,0,0,0,0,1,1,1,0
37,0,1,1,0,1,0,0,0,1
38,1,0,0,1,0,1,0,1,0
39,0,1,1,0,0,1,1,0,0
40,1,0,0,1,1,0,0,0,1
41,0,1,0,0,0,1,1,1,0
42,1,0,1,1,0,1,0,0,0
43,0,0,1,0,1,0,1,1,1
44,1,1,0,1,0,1,0,0,0
45,0,0,1,0,0,1,1,0,1
46,1,0,0,1,1,0,0,1,0
47,0,1,1,0,0,0,1,0,1
48,1,0,0,0,1,1,0,1,0
49,0,1,1,1,0,1,0,0,1
50,1,0,0,0,0,0,1,1,0
